,Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
101,Togo,8310934,8507292,54390,-2000.0,,19.0,-196358,-2.3081140273544154,Low
145,Gabon,2234448,2287603,257670,3260.0,,23.0,-53155,-2.323611221002945,Low
185,Mayotte,273905,280570,375,0.0,,20.0,-6665,-2.375521260291549,High
165,Solomon Islands,689671,706732,27990,-1600.0,,20.0,-17061,-2.4140692652943407,Low
116,Congo,5540555,5678134,341500,-4000.0,,19.0,-137579,-2.422961486995552,Low
11,Ethiopia,115434444,118319302,1000000,30000.0,,19.0,-2884858,-2.4381972773977316,Low
75,Rwanda,13005303,13330571,24670,-9000.0,,20.0,-325268,-2.4400155102133283,High
119,Oman,5128058,5259698,309500,87400.0,,31.0,-131640,-2.5028052941442644,Low
61,Malawi,19211425,19712630,94280,-16053.0,,18.0,-501205,-2.5425577409001234,Low
76,Benin,12175480,12497529,112760,-2000.0,,19.0,-322049,-2.5769014018691214,Low
69,Senegal,16816539,17264102,192530,-20000.0,,19.0,-447563,-2.592448770286459,Low
58,Burkina Faso,20997293,21579188,273600,-25000.0,,18.0,-581895,-2.6965565154722224,Low
64,Zambia,18468257,18991182,743390,-8000.0,,18.0,-522925,-2.753514762798861,Low
143,Gambia,2427782,2496744,10120,-3087.0,,18.0,-68962,-2.762077329513959,Low
71,Chad,16502877,16981865,1259200,2000.0,,17.0,-478988,-2.8205853715124927,Low
231,Falkland Islands,3497,3600,12170,,,,-103,-2.861111111111111,Low
15,DR Congo,90003954,92774790,2267050,23861.0,,17.0,-2770836,-2.9866260004468885,Low
30,Uganda,45974931,47446344,199810,168694.0,,17.0,-1471413,-3.10121471108501,Low
151,Bahrain,1711057,1771460,760,47800.0,,32.0,-60403,-3.4097862779853902,High
